hotel_name,hotel_address,hotel_location,hotel_rating,hotel_description,hotel_country,hotel_num_reviews,unique_tags,hotel_img_url,hotel_link,unique_review_country,best_noun,worst_noun,features_room,features_facilities,features_location,features_staff,features_food,pos_review_count,neg_review_count
Siam Eco Hostel,"486/106-107 Petchaburi Road, Thanon Petchaburi, Ratchathewi, Bangkok , Phaya Thai, 10400 Bangkok, Thailand","13.75308373,100.53145603",9.9,"You're eligible for a Genius discount at Siam Eco Hostel! To save at this property, all you have to do is sign in.
Attractively set in the Phaya Thai district of Bangkok, Siam Eco Hostel is situated 2,300 feet from Siam Discovery, 0.9 miles from Bangkok Art & Culture Centre and 1.1 miles from MBK Center. Among the facilities at this property are a shared kitchen and a shared lounge, along with free WiFi throughout the property. Guests can have a drink at the snack bar.
The rooms at the hostel have air conditioning, a flat-screen TV with cable channels, blu-ray player, and a shared bathroom with a shower and a hairdryer. All units feature bed linen.
Siam Eco Hostel offers a continental or buffet breakfast.
Popular points of interest near the accommodation include Siam Paragon Mall, SEA LIFE Bangkok Ocean World and Pratunam Market. The nearest airport is Don Mueang International Airport, 14.9 miles from Siam Eco Hostel.",Thailand,367,"Economy Quadruple Room with Shared Bathroom,Stayed 4 nights,Bed in 6-Bed Mixed Dormitory Room,Triple Room with Shared Bathroom,Submitted via mobile,Stayed 1 night,Bed in 4-Bed Mixed Dormitory Room,Solo traveller,Family Room with Shared Bathroom,Business trip,Bed in 4-Bed Female Dormitory Room,Leisure trip,Bed in 8-Bed Mixed Dormitory Room,Stayed 5 nights,People with friends,Stayed 2 nights,Family with young children,Couple,Bed in 6-Bed Female Dormitory Room,Stayed 3 nights,Double Room with Shared Bathroom,Group",https://t-cf.bstatic.com/xdata/images/hotel/max500/208790280.jpg?k=caedffaa7b8872342af31603286d68fd266424dfbe5d6bcb3ebbb9c596946400&o=&hp=1,https://www.booking.com/hotel/th/siam-eco-hostel.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=cfba37c596e858800c27ab7b6dc2bdb1,"Italy,Netherlands,Singapore,United Arab Emirates,Iran,Norway,Japan,Myanmar,Russia,France,Czech Republic,United Kingdom,Lithuania,Austria,Vietnam,India,China,Indonesia,Thailand,Malaysia,Germany,Portugal,Brazil,Canada,Australia,Switzerland,United States","staff,hostel,location","room,breakfast,floor",1,1,1,1,1,67,2
Tiny Taladnoi Hostel,"80-82 Yotha Road, Talat Noi, Samphanthawong, 10100 Bangkok, Thailand","13.73197965,100.51380123",9.9,"You're eligible for a Genius discount at Tiny Taladnoi Hostel! To save at this property, all you have to do is sign in.
Just 0.7 miles from Sampeng Market, Tiny Taladnoi Hostel is situated in Bangkok and offers air-conditioned rooms. Featuring a shared lounge, the property is located within a 13-minute walk from MRT Hua Lamphong Subway Station and Bangkok Hua Lamphong Train Station.
Certain rooms also offer a kitchenette with a fridge.
Attractions nearby the property include China Town, a 10-minute walk away and River City Department Store, a 3-minute walk from the property. Marine Dept pier is just a 4-minute walk away, while MBK Shopping Mall is 2.2 miles from the hostel. Don Mueang International Airport is 18 miles away.",Thailand,225,"Stayed 4 nights,Bed in 6-Bed Mixed Dormitory Room,Bed in 4-Bed Mixed Dormitory Room,Submitted via mobile,Stayed 1 night,Solo traveller,Business trip,Stayed 7 nights,Bed in 4-Bed Female Dormitory Room,Leisure trip,People with friends,Stayed 2 nights,Family with young children,Couple,Twin Room with Shared Bathroom,Stayed 3 nights,Bed in 6-Bed Female Dormitory Room,Stayed 20 nights,Double Room with Private Bathroom,Stayed 6 nights,Double Room with Shared Bathroom,Group",https://t-cf.bstatic.com/xdata/images/hotel/max500/129567009.jpg?k=8591c446e760bada0fd019999232064dac2648632bdbf5a54c974a37bb2cfb04&o=&hp=1,https://www.booking.com/hotel/th/tiny-taladnoi-hostel.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=84765cf27ef5778c429cc1710188153e,"Antarctica,Cambodia,Israel,Japan,Poland,Russia,France,United Kingdom,Philippines,Vietnam,Mauritius,Thailand,Germany,Brazil,Ireland,Canada,Taiwan,South Korea,Turkey,Australia,Switzerland,United States","room,location,hostel","issue,stay,elevator",1,1,1,1,1,39,1
Rich8 Hostel,"102 Soi Wora Phong (สามเสน6) ถนนวิสุทธิกษัตริย์ แขวงบ้านพานถม, 10200 Bangkok, Thailand","13.76338800,100.50243400",9.7,"You're eligible for a Genius discount at Rich8 Hostel! To save at this property, all you have to do is sign in.
Situated in Bangkok and with Khao San Road reachable within 1.1.2 miles, Rich8 Hostel features express check-in and check-out, non-smoking rooms, a shared lounge, free WiFi throughout the property and a garden. The property is set 1.2 miles from Bangkok National Museum, 2 km from Wat Saket and 1.3 miles from Temple of the Emerald Buddha. The accommodation offers a 24-hour front desk, a shared kitchen and luggage storage for guests.
All rooms at the hostel are fitted with a flat-screen TV with satellite channels, a kitchen and a dining area. Rooms are equipped with air conditioning, and some rooms at Rich8 Hostel have a balcony. All units will provide guests with an oven.
A continental breakfast is available each morning at the accommodation.
Dusit Palace is 1.4 miles from Rich8 Hostel, while Grand Palace is 1.6 miles from the property. The nearest airport is Don Mueang International, 15.5 miles from the hostel, and the property offers a paid airport shuttle service.",Thailand,482,"Stayed 4 nights,Classic Quadruple Room,Submitted via mobile,Stayed 1 night,Male Dormitory Room,Solo traveller,Business trip,Bunk Bed in Female Dormitory Room,Budget Double Room,Leisure trip,Bunk Bed in Mixed Dormitory Room,Bunk Bed in Male Dormitory Room,Stayed 5 nights,People with friends,Stayed 2 nights,Family with young children,4-Bed Female Dormitory Room,Couple,Twin Room with Private Bathroom,Single Room,Stayed 3 nights,Stayed 6 nights,Group",https://cf.bstatic.com/xdata/images/hotel/max500/183737481.jpg?k=86f8649a032e5dfeb409ec499021e91ef5c9d1fb67df878ca1390ab88338df6e&o=&hp=1,https://www.booking.com/hotel/th/rich8-hostel.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=e213ad56fcd301a6484ab925f29e08da,"Italy,Morocco,Singapore,Netherlands,Israel,Luxembourg,United Arab Emirates,Norway,Japan,Slovakia,Poland,France,United Kingdom,Vietnam,India,Austria,Ukraine,Romania,China,Thailand,Germany,Spain,Hungary,New Zealand,Slovenia,Ireland,Canada,Uganda,Denmark,Taiwan,Mexico,Latvia,Turkey,Australia,Switzerland,Cyprus,Belgium,United States","staff,hostel,room","place,area,floor",1,1,1,1,1,70,1
Kinnon Deluxe Hostel Coworking Cafe,"39/22-24 Silom Soi 6 Silom Road, Suriyawong, Bangrak, Bang Rak, 10500 Bangkok, Thailand","13.72826150,100.52962729",10.0,"You're eligible for a Genius discount at Kinnon Deluxe Hostel Coworking Cafe! To save at this property, all you have to do is sign in.
Set in the Silom district of Bangkok, Kinnon Hostel features rooms with free WiFi. The property is only a 10-minute walk from Sala Daeng BTS Skytrain Station and Silom MRT station. Guests can enjoy a selection of international dishes in the on-site restaurant or relax at a rooftop garden and a bar.
At the hostel, the rooms come with a wardrobe. The shared bathroom is equipped with free toiletries.
Kinnon Hostel offers a à la carte or Asian breakfast.
Property offer Free snack Bar where provided  Free coffee Tea all day  , Bread (Morning),Cozy Roof top Bar is available.
Guests can make use of the business centre. Around the clock advice is available at the reception, where staff speak English and Thai.
Don Mueang International Airport is 14.3 miles from the property.",Thailand,560,"4-Bed Mixed Dormitory Room,Stayed 4 nights,Bed in 6-Bed Mixed Dormitory Room,Submitted via mobile,Stayed 1 night,Stayed 9 nights,Solo traveller,Family Room with Shared Bathroom,Business trip,Bunk Bed in Female Dormitory Room,Stayed 7 nights,Leisure trip,Bunk Bed in Mixed Dormitory Room,Single Room with Shared Bathroom,Bed in 8-Bed Mixed Dormitory Room,Stayed 5 nights,People with friends,Stayed 2 nights,Stayed 10 nights,Family with young children,Couple,Stayed 8 nights,Stayed 3 nights,Stayed 6 nights,Group",https://t-cf.bstatic.com/xdata/images/hotel/max500/180387518.jpg?k=9b7188079452fd3dcab0c6967d6bc048ef63005a445475e48c0dda6637bb296b&o=&hp=1,https://www.booking.com/hotel/th/kinnon-hostel.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=b2ea33c84e47bd543934750d32b8685a,"Italy,Cambodia,Netherlands,Singapore,United Arab Emirates,Japan,Myanmar,Poland,Chile,France,Czech Republic,United Kingdom,Philippines,Vietnam,India,Romania,China,Thailand,Malaysia,Germany,Sweden,Spain,Qatar,Hungary,Brazil,Slovenia,Ireland,Canada,Mexico,South Korea,Australia,Belgium,Maldives,United States","staff,bed,breakfast","room,hostel,people",1,1,1,1,1,89,2
Tamni,"476/4-5 Soi Phraya Sinhaseni Rama 4 Rd, Rongmuang, Pratumwan, Pathumwan, 10330 Bangkok, Thailand","13.73839866,100.51781600",9.7,"Located in Bangkok, 0.9 miles from MBK Center, Tamni provides accommodation with a bar, free private parking, a shared lounge and a garden. The property is around 1.2 miles from Siam Paragon Mall, 1.3 miles from SEA LIFE Bangkok Ocean World and 1.3 miles from Wat Saket. Free WiFi and a shared kitchen are provided.
All guest rooms at the hostel are equipped with a seating area. Guest rooms at Tamni include air conditioning and a desk.
Continental and American breakfast options are available daily at the accommodation.
Popular points of interest near Tamni include Bangkok Art & Culture Centre, Jim Thompson House and Siam Discovery. The nearest airport is Don Mueang International Airport, 13.7 miles from the hostel.",Thailand,64,"Small Double Room,Bed in 4-Bed Mixed Dormitory Room,Submitted via mobile,Stayed 1 night,Stayed 3 nights,Double Room,Stayed 5 nights,People with friends,Solo traveller,Stayed 2 nights,Family Double Room,Family with young children,Business trip,Couple,Bed in 4-Bed Female Dormitory Room,Leisure trip",https://cf.bstatic.com/xdata/images/hotel/max500/343095607.jpg?k=d7e69c69a16bd86fe91e886d574039dd7310a704147320171abeb277808ff422&o=&hp=1,https://www.booking.com/hotel/th/tamni.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=ff2900ca8d46e19d3874506f0d4ec801,"Thailand,Canada,United Kingdom,Malaysia,Portugal,Australia,Israel,Netherlands,Japan,Russia,Poland","room,hotel,staff","location,coffee,people",1,1,0,1,1,21,0
Kasayapi Hotel,"Soi Itsaraphap 32, Bangkok Yai, 10600 Bangkok, Thailand","13.73808100,100.48624800",9.9,"You're eligible for a Genius discount at Kasayapi Hotel! To save at this property, all you have to do is sign in.
Set in Bangkok, 0.7 miles from Wat Arun, Kasayapi Hotel offers accommodation with an outdoor swimming pool, free private parking, a garden and a terrace. Located around 2.1 miles from Wat Pho, the hotel with free WiFi is also 2.4 miles away from Temple of the Emerald Buddha. The property is 3.1 miles from Bangkok National Museum and 3.7 miles from Khao San Road.
The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Kasayapi Hotel all rooms have bed linen and towels.
An Asian breakfast is available every morning at the accommodation.
Grand Palace is 2.5 miles from Kasayapi Hotel, while Wat Saket is 2.6 miles from the property. The nearest airport is Don Mueang International Airport, 18 miles from the hotel.",Thailand,119,"Stayed 3 nights,Submitted via mobile,Stayed 1 night,Stayed 4 nights,Stayed 5 nights,People with friends,Stayed 2 nights,Solo traveller,Family with young children,Stayed 6 nights,Couple,Superior Twin Room,Superior King Room,Leisure trip,Deluxe King Room",https://cf.bstatic.com/xdata/images/hotel/max500/164157139.jpg?k=99384a3d7e8426c133a92f0dd64980785ea047be16ae8a3e283ed03e89e299b3&o=&hp=1,https://www.booking.com/hotel/th/kasayapi.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=eddf885acad3942031bad7fbf2f120b5,"Thailand,Ireland,Italy,United Kingdom,Denmark,Canada,Germany,Netherlands,Finland,Spain,Belgium,Hong Kong,China,Poland,United States,France","hotel,breakfast,room","kid,bed,suggestion",1,1,1,1,1,17,3
Ekanek Hostel,"37/17 Surawong Road Bangrak, Bang Rak, 10500 Bangkok, Thailand","13.72955480,100.53220013",9.9,"You're eligible for a Genius discount at Ekanek Hostel! To save at this property, all you have to do is sign in.
Located in Bangkok, Ekanek Hostel is a 1-minute walk from Patpong and provides facilities like terrace and shared lounge. Ideally situated in the Bang Rak district, this hostel offers a bar. Snake Farm-Queen Saovabha Memorial Institute is 1,000 feet from the hostel.
At the hostel, rooms have a desk. Featuring a private bathroom with a shower and free toiletries, rooms at Ekanek Hostel also provide guests with a city view.
There is a pantry area at the hostel where guests will find a microwave and a refrigerator.
The reception can provide advice on the area in order to help guests plan their day.
MBK Shopping Mall is 1 miles from the accommodation, while Amarin Plaza is 1.2 miles from the property. The nearest airport is Don Mueang International Airport, 14.3 miles from the property.",Thailand,832,"Stayed 4 nights,Small Double Room with Shared Bathroom ( No Window),Quadruple Room with Shared Bathroom,Submitted via mobile,Stayed 1 night,Solo traveller,Business trip,Stayed 7 nights,Bed in 10-Bed Mixed Dormitory Room,Leisure trip,Stayed 5 nights,People with friends,Stayed 2 nights,Family with young children,Couple,Bed in 6-Bed Female Dormitory Room,Stayed 3 nights,Stayed 16 nights,Double Room with Private Bathroom,Small Bunk Bed Room with Shared Bathroom (No Window),Stayed 6 nights,Group",https://cf.bstatic.com/xdata/images/hotel/max500/119685452.jpg?k=a93401c44fd28f7818e2bbd36b04ee2da745c7ce609fe835cfbc822295af26ca&o=&hp=1,https://www.booking.com/hotel/th/ekanek-hostel.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=78084abc3c9bfad0ec6650f9ca6969a5,"nan,Italy,Peru,Netherlands,United Arab Emirates,Singapore,Luxembourg,Japan,Myanmar,Colombia,Poland,Russia,Chile,France,United Kingdom,Philippines,Vietnam,Austria,India,Ukraine,Hong Kong,China,Indonesia,South Africa,Thailand,Malaysia,Germany,Portugal,Spain,Hungary,New Zealand,Brazil,Ireland,Canada,Taiwan,Mexico,Turkey,Australia,Belgium,Maldives,United States,Laos","staff,location,hostel","bed,room,place",1,1,0,1,1,111,2
"Kimpton Maa-Lai Bangkok, an IHG Hotel- SHA Extra Plus","78 Soi Tonson, Lumpini, Pathumwan,, Pathumwan, 10330 Bangkok, Thailand","13.73773500,100.54345600",9.7,"Situated in Bangkok, 0.7 miles from Amarin Plaza, Kimpton Maa-Lai Bangkok, an IHG Hotel- SHA Extra Plus features accommodation with a restaurant, free private parking, an outdoor swimming pool and a fitness centre. Each accommodation at the 5-star hotel has city views, and guests can enjoy access to a bar and to a garden. The accommodation provides a 24-hour front desk, room service and currency exchange for guests.
At the hotel rooms come with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a bidet, bathrobes and slippers. Every room includes a coffee machine, while certain rooms are equipped with a balcony and others also boast garden views. At Kimpton Maa-Lai Bangkok rooms include bed linen and towels.
The accommodation offers an American or Asian breakfast.
Kimpton Maa-Lai Bangkok, an IHG Hotel- SHA Extra Plus offers 5-star accommodation with a sauna and terrace.
Popular points of interest near the hotel include Gaysorn Village Shopping Mall, Central World and Siam Paragon Mall. The nearest airport is Don Mueang International, 15.5 miles from Kimpton Maa-Lai Bangkok, and the property offers a paid airport shuttle service.",Thailand,80,"With a pet,Stayed 4 nights,Premium King Room,Submitted via mobile,Stayed 1 night,Solo traveller,Business trip,Leisure trip,Essential King Room,Maa-Lai King Suite with Living Area,Stayed 5 nights,Essential Room,Stayed 2 nights,Family with young children,Couple,One-Bedroom Residence,Stayed 3 nights,Executive Suite,Junior Suite,Premium Twin Room,Stayed 6 nights,Maa-Lai King Suite,Maa-Lai King Suite with Green Lung View,Group",https://cf.bstatic.com/xdata/images/hotel/max500/346541157.jpg?k=f1664e7e2784f2487fc82323bb4d2cf0a9effd60752afddc549edd3e16d7356b&o=&hp=1,https://www.booking.com/hotel/th/kimpton-maa-lai-bangkok.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=c25c25ce1abc78edbc6d5fc29425c819,"Thailand,Egypt,United Kingdom,Portugal,Latvia,Singapore,Switzerland,United Arab Emirates,Netherlands,Hong Kong,United States,South Africa,France","hotel,staff,room","problem,dog,pool",1,1,0,1,1,20,2
Siam Kempinski Hotel Bangkok - SHA Extra Plus Certified,"991/9 Rama I Road, Pathumwan, Pathumwan, 10330 Bangkok, Thailand","13.74829038,100.53482920",9.7,"You're eligible for a Genius discount at Siam Kempinski Hotel Bangkok - SHA Extra Plus Certified! To save at this property, all you have to do is sign in.
Luxurious stays await at Siam Kempinski Hotel Bangkok, with multiple pools situated within landscaped grounds. Featuring a direct access to Siam Paragon shopping centre, This resort-style hotel boasts free WiFi, fine dining and a world-class spa.
Siam Kempinski Hotel Bangkok enjoys easy access to Siam BTS Skytrain Station through Siam Paragon Mall. Suvarnabhumi International Airport is about 14.9 miles from the hotel.
The spacious rooms at Siam Kempinski Hotel Bangkok are contemporary and stylish. Each comes with tea/coffee making facilities with an electric kettle and a flat-screen TV with international channels, while certain rooms provide a pool access. Complimentary soft drinks and local beer are available from the minibar. En suite bathrooms have slippers, free toiletries and a bath or shower.
Siam Kempinski boasts 3 restaurants offering an international buffet breakfast, modern Thai cuisine and and all-day dining.",Thailand,648,"Stayed 4 nights,Duplex Cabana with Direct Pool Access - Lounge Access,Submitted via mobile,Stayed 1 night,Solo traveller,Deluxe Balcony Room with Twin Beds,Business trip,Stayed 7 nights,Superior King Room,Leisure trip,Premier Room with 2 Twin Bed,Premier room with 1 King Bed,Family Themed Suite One Bedroom - Lounge Access,Executive Suite - Lounge Access,Premier Twin Room,Executive Room with 1 King Bed - Lounge Access,Stayed 5 nights,People with friends,Stayed 2 nights,Stayed 10 nights,Family with young children,Couple,Deluxe Balcony Room with King Bed,Executive Twin Room with Executive Lounge Benefit,Stayed 3 nights,Executive Balcony Room with King Bed - Lounge Access,Two Bedroom Suite,Deluxe Room with 1 King bed,Family Suite,Deluxe Twin Room,Stayed 14 nights,Deluxe Room with 2 Twin Bed,Stayed 6 nights,Executive Balcony Room with 2 Twin Bed - Lounge Access,Cabana Room with Direct Pool Access,Executive Room with 2 Twin Bed - Lounge Access,Group",https://cf.bstatic.com/xdata/images/hotel/max500/328758032.jpg?k=908d664b47da630f697a2877722741addf9e864b009897366dfa902f90ca05a9&o=&hp=1,https://www.booking.com/hotel/th/siam-kempinski-bangkok.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=56f4e7831ce5b45b3b2ee7aadd242c32,"Cambodia,Singapore,United Arab Emirates,Netherlands,Israel,Russia,United Kingdom,Philippines,Austria,India,Romania,Hong Kong,China,Indonesia,Thailand,Malaysia,Germany,Bosnia and Herzegovina,Sweden,Qatar,Hungary,New Zealand,Mongolia,Saudi Arabia,Ireland,Trinidad and Tobago,Kuwait,Taiwan,South Korea,Latvia,Australia,Belgium,Macao,United States","staff,room,location","hotel,smell,guest",0,1,1,1,1,112,7
The Peninsula Bangkok - SHA Extra Plus,"333 Charoennakorn Road, Klong-Tonsai, Klongsan, 10600 Bangkok, Thailand","13.72308476,100.51092267",9.6,"Located along the bank of Chao Phraya River, The Peninsula Bangkok - SHA Extra Plus features luxury guest rooms with full facilities and views of the Chao Phraya River. This disable-friendly hotel boasts an outdoor pool and a fitness centre. Free Wi-Fi is offered in the entire residence.
It is just a 5-minutes by free ferry transfer from Saphan Taksin BTS Station. Suvarnabhumi International Airport is a 45-minute drive from The Peninsula. Grand Palace and Wat Arun Temple are within a 20-minute ride from the property.
Rooms are fitted with a dressing room, a sofa and a seating area. Other facilities include electronic curtain control, mood lighting and a cable/satellite flat-screen TV. En suite bathrooms are equipped with free toiletries, a bathtub and shower facilities. A daily fruit plate is provided in the rooms.
Guests enjoy hotel’s facilities such as spa, sauna and business centre. Currency exchange, car rental and laundry services are available. There is a tour desk and a ticket counter to help guests with sightseeing arrangements.
Dining options include The Lobby which serves breakfast, lunch and dinner. Enjoy fine Cantonese cuisine for lunch and dinner in stylish setting at Mei Jiang Restaurant. Thiptara Restaurant features authentic Thai dishes for dinner in an ancient Thai style decoration with river views.",Thailand,286,"Grand Deluxe Twin Room with Balcony,Stayed 4 nights,Grand Deluxe King Room with Balcony,Submitted via mobile,Stayed 1 night,Solo traveller,Deluxe Twin Suite,Business trip,King Room with Balcony,Grand Deluxe King Room,Leisure trip,Deluxe King Suite,Stayed 5 nights,People with friends,Stayed 2 nights,Grand Deluxe Twin Room,Family with young children,Couple,Stayed 3 nights,Deluxe Twin Room,Twin Room with Balcony,Deluxe King Room,Group",https://cf.bstatic.com/xdata/images/hotel/max500/254672623.jpg?k=e769f70a594ce9c0c476b8c783c97e6db4d383d1ebbb14f2d532654d33adf711&o=&hp=1,https://www.booking.com/hotel/th/the-peninsula-bangkok.en-gb.html?label=gen173nr-1FCCoo3QE4rAJICVgEaK0CiAEBmAEJuAEYyAEM2AEB6AEB-AECiAIBqAIEuALN3qOSBsACAdICJDBhNTdjNTcyLWEyMjMtNDUwOS05Zjk3LWE2Y2M1NjUxMTNkMdgCBeACAQ;sid=1854fa21c2e3f9bbc265b6ce8ac66d65,"Netherlands,Israel,United Arab Emirates,Singapore,Japan,Norway,United Kingdom,Hong Kong,China,Thailand,Greece,Germany,Qatar,New Zealand,Ireland,Canada,Australia,Switzerland,Macao,Estonia,United States","hotel,staff,location","riverside,cafe,boat",1,1,1,1,1,45,2
