hotel_name,hotel_location,review_title,review_pos,review_neg,review_date,review_country,num_reviews_by_reviewer,reviewer_name,review_rating,review_tags,hussain_classification,jeremy_classification,automatic_classfication
Pullman Bangkok Hotel G - SHA Plus Certified,"13.72588320,100.52592695",Exceptional,No Positive,No Negative,2019-09-22T00:00:00,India,4,Alma,10.0,"Leisure trip,Group,G Deluxe Room with Double Bed,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Citadines Balestier (SG Clean),"1.32101100,103.85258000",Superb,No Positive,No Negative,2019-12-28T00:00:00,Australia,11,Anonymous,9.2,"Leisure trip,Family with young children,One-Bedroom Premier,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Adelphi Suites Bangkok - SHA Extra Plus,"13.73875977,100.55583894",Exceptional,Washing Machine in the room,The breakfast was a bit lacking of western alternatives,2019-08-13T00:00:00,Germany,19,Maximilian,9.6,"Leisure trip,Couple,One-Bedroom Suite,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Sofitel Bangkok Sukhumvit - SHA Extra Plus Certified,"13.73916362,100.55764139",Superb,No Positive,No Negative,2021-12-29T00:00:00,Netherlands,33,Ali,9.0,"Leisure trip,Solo traveller,Luxury King Room with Park View,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Village Hotel Changi by Far East Hospitality (SG Clean),"1.39055934,103.98615092",“Just right...”,Good location and friendly staffs,Did not convey my request after promising they will.,2019-05-8T00:00:00,Singapore,1,Najib,6.3,"Leisure trip,Couple,Deluxe Double or Twin Room,Stayed 1 night,Submitted via mobile",1.0,1.0,0
7 Wonders Hostel @ Upper Dickson (SG Clean),"1.30642290,103.85230400",“Great for an overnight stay in the heart of Little India”,Reception staff was really nice and helpful. Beds were comfy and the location is in the heart of Little India.,"Cleaning staff came in at 9am while people were still getting ready.
Very small common area so not really a social hostel.",2020-02-20T00:00:00,Germany,52,Ulli,9.0,"Leisure trip,Solo traveller,Single Bed in Female Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Carlton Hotel Singapore (SG Clean),"1.29579613,103.85227650",Exceptional,It had all the personal comforts inside the hotel room & breakfast was great for people with allergies who cannot eat shellfish & shellfish-mixed foods.,"My only issue is that the hotel does not have a private designated smoking area for hotel guests on its swimming / outside entertainment level, the way Yotel Hotel does. 
It is really something that Carlton should look into because it’s not great having to stand on the street sidewalk of a busy area with a cigarette.",2020-01-20T00:00:00,South Africa,2,Anonymous,9.6,"Business trip,Solo traveller,Deluxe Double or Twin Room with free Wifi,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Venue Hotel - SG Clean,"1.30952817,103.90241235",Superb,No Positive,No Negative,2022-03-14T00:00:00,Singapore,5,Sharveen,9.0,"Leisure trip,Couple,Standard Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Marina Bay Sands (SG Clean),"1.28397326,103.86081934",Exceptional,No Positive,No Negative,2019-09-22T00:00:00,United Kingdom,2,Anonymous,9.6,"Leisure trip,People with friends,Premier Twin Room - Lower Floor (3 Persons),Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Grand Mercure Singapore Roxy - SG Clean,"1.30308718,103.90483171",Exceptional,No Positive,No Negative,2022-02-16T00:00:00,Malaysia,2,Teh,10.0,"Leisure trip,Family with young children,Superior Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Royal Orchid Sheraton Hotel and Towers - SHA Extra Plus,"13.72919230,100.51384091",Good,Location,-,2019-07-10T00:00:00,Malaysia,6,Su,7.9,"Business trip,Solo traveller,Premium Deluxe, Guest room, 1 King, River view,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Novotel Bangkok Sukhumvit 20 - SHA Extra Plus Certified,"13.73152200,100.56402100",Superb,"The hotel totally exceeded our expectations. The bed was exceptionally comfortable and of a fabulous size. Good view over Bangkok, and easy access to swimming pool, many bars and places to eat to the building.   We decided to add on breakfast and the quality and selection set us up for the day.",No Negative,2020-02-27T00:00:00,United Kingdom,3,Charlotte,9.0,"Leisure trip,Couple,Superior King Room with City View,Stayed 1 night",1.0,1.0,1
Siam Journey Guesthouse,"13.75507985,100.53169370",“Good place to stay”,good place,not offered a blanket,2020-10-18T00:00:00,Thailand,10,Norman,7.0,"Leisure trip,Solo traveller,Bed in 10-Bed Mixed Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Dusit Thani Laguna Singapore (SG Clean),"1.32388000,103.96316000",Very good,No Positive,love the pool but would be better if got more staff at the pool facilities or at least a call button to press and ask for a waiter to come over the cabana,2021-09-20T00:00:00,Singapore,1,Lee,8.0,"Leisure trip,Couple,Deluxe Laguna Pool View King,Stayed 1 night",1.0,0.0,1
Copthorne King's Hotel Singapore on Havelock - SG Clean,"1.28825299,103.83677065",Very poor,No Positive,Tired rooms. Checkin service was appalling,2019-08-22T00:00:00,Australia,10,Trudy,2.9,"Leisure trip,Couple,Deluxe Double Room with Balcony,Stayed 1 night,Submitted via mobile",0.0,0.0,0
Fraser Residence Orchard Singapore (SG Clean),"1.30156600,103.82959900",“Excellent and memorable stay”,"This was my first stay at Fraser and I really enjoyed much. From guests executives, dining executives to hygiene executives are all friendly, attentive and very professionals.",The room may not be very soundproof as I can hear clearly when the neighbour opens and closes the door.,2021-01-2T00:00:00,Singapore,4,King,9.0,"Leisure trip,Solo traveller,Studio Deluxe King,Stayed 7 nights",1.0,1.0,1
"M Social Singapore (SG Clean, Staycation Approved)","1.29030560,103.83677779",Very good,i think the room fits e price. u are paying basically for location and also it has pretty much wad uneed for a short staycation.,"toliet would be slightly bigger,",2020-11-27T00:00:00,Singapore,5,Tan,8.0,"Business trip,Couple,Alcove Cosy Queen,Stayed 2 nights",1.0,1.0,1
WELLSTAY Namba,"34.66111900,135.49560500",“Comfortable rooms in centrally-located hostel”,Small but very comfortable room with nice beds. Location is great.,No Negative,2020-06-14T00:00:00,United Kingdom,31,Kamila,9.0,"Leisure trip,Couple,Standard Quadruple Room,Stayed 1 night",1.0,1.0,1
Livotel Hotel Hua Mak Bangkok,"13.75329030,100.63597160",Very good,"Great locationGreat price",No Negative,2020-05-9T00:00:00,Thailand,4,Sannithi,8.0,"Leisure trip,Group,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Apartelle Jatujak Hotel,"13.81718871,100.56563348",“Highly recommended.”,"Friendly, spotlessly clean, lovely shared lounge and eating area. The free shuttle was useful and very efficient. Although the location seems a little isolated, it was easy to walk to Tesco, street food and even Union Mall. Having access to a microwave, coffee machine and water dispenser was a big bonus.","There was nothing I didn't like. Maybe some people would find the bathroom to be a bit small, but I can't think of anything else that could be improved. Drinking water was provided in large plastic bottles, but maybe they fill them up themselves. I rarely use them anyway. But a dispenser was available in the kitchen area, so they were unnecessary.Everything else was just right :-)",2020-03-2T00:00:00,Malaysia,3,Ian,10.0,"Leisure trip,Couple,Premium Double Room,Stayed 3 nights",1.0,1.0,1
"Park View Hotel (SG Clean, Staycation Approved)","1.29706449,103.85655731",Fabulous,No Positive,No Negative,2019-04-29T00:00:00,Malaysia,10,Anonymous,8.8,"Business trip,People with friends,Deluxe Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Mitsui Garden Hotel Osaka Premier,"34.69218286,135.49332798",“Very comfortable place to stay and relax in.”,"This was a comfortable, luxurious and spacious room with a great view of the city from our seventh floor window. We enjoyed the Onsen facilities, particularly the women's Onsen which had an outdoor jacuzzi as well as indoor hot pool. The shuttle bus was a very useful service, taking us to Osaka station.",More English speaking and Sports channels available on the TV.,2020-02-4T00:00:00,United Kingdom,6,Karen,9.0,"Leisure trip,Family with young children,Standard Twin Room - Non-Smoking,Stayed 2 nights",1.0,1.0,1
"Bliss Hotel Singapore (SG Clean, Staycation Approved)","1.28452298,103.84441227",Good,Location was great.  Loved Chinatown.,Wish the staff told me more about the area...eg. all the great eating places and where the best parts of Chinatown is.,2019-07-10T00:00:00,New Zealand,22,Sarah,7.9,"Leisure trip,Family with young children,Family Room (4 Adults),Stayed 2 nights",1.0,1.0,1
Hotel Noum OSAKA,"34.69225463,135.51464565",Exceptional,The staff were friendly and fluent in English. They were helpful and offered help when possible,None,2020-12-7T00:00:00,Japan,7,Zachary,10.0,"Leisure trip,Family with young children,Double Room with River View,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"CUBE Family Boutique Capsule Hotel @ Chinatown (SG Clean, Staycation Approved)","1.28298378,103.84312481",“Bad”,Nil,Never refund deposit $100,2021-10-10T00:00:00,Singapore,1,Xuan,1.0,"Leisure trip,Group,Deluxe Family Room for 5,Stayed 1 night,Submitted via mobile",0.0,0.0,0
